Add Pin To Net: Unknown Pin: Pin PGPS-5
Added Member To Class: ClassName=U_Connectors Member=Component P11 Connector
Added Member To Class: ClassName=U_Connectors Member=Component P13 Connector
Added Member To Class: ClassName=U_Connectors Member=Component P15 Connector
Added Member To Class: ClassName=U_Connectors Member=Component P19 Connector
Added Member To Class: ClassName=U_Connectors Member=Component P20 Connector
Added Member To Class: ClassName=U_Connectors Member=Component P21 Connector
Added Member To Class: ClassName=U_Connectors Member=Component P26 Connector
Added Member To Class: ClassName=U_Connectors Member=Component P28 Connector
Added Member To Class: ClassName=U_Connectors Member=Component P29 Connector
Added Member To Class: ClassName=U_Connectors Member=Component P30 Connector
