Change Physical Footprint: Designator=BATT Old Footprint=CONN2_SORK_3.5mm New Footprint=CONN2_SORK_3.5mm
Change Physical Footprint: Designator=BH Old Footprint=ONLAB_ELEMTARTO New Footprint=ONLAB_ELEMTARTO
Change Physical Footprint: Designator=BOOT0 Old Footprint=FP_CONN3_TUSKE_254MM New Footprint=FP_CONN3_TUSKE_254MM
Change Physical Footprint: Designator=C1 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C2 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C3 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C4 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C5 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C6 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C7 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C8 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C9 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C10 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C11 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C12 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C13 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C14 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
Change Physical Footprint: Designator=C15 Old Footprint=FP_0805_CAP_085 New Footprint=FP_0805_CAP_085
